product_url,product_name,product_price,rating,num_reviews
/American-Tourister-27O-70-003/dp/B073XL19QZ,"<span class=""a-size-medium a-color-base a-text-normal"">American Tourister Jamaica 80CM Wine RED Soft Suitcase</span>","₹5,499",4.3,"(5,236)"
/Leatherette-Executive-messenger-multiple-compartments/dp/B099NM8621,"<span class=""a-size-medium a-color-base a-text-normal"">Zipline Synthetic Leather Executive SMALL messenger bag Briefcase for upto 13"" Laptop/Tablet for men women with multiple compartments (1-Tan Bag)</span>",₹938,3.9,(336)
/Gear-Classic-Leather-Backpack-LBPCLSLTH0101/dp/B07G4D13LB,"<span class=""a-size-medium a-color-base a-text-normal"">Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black</span>",₹999,4.4,"(2,527)"
/HP-Lightweight-100-Black-Backpack/dp/B08CY1YXCK,"<span class=""a-size-medium a-color-base a-text-normal"">HP 100 Lightweight Backpack for 15.6-inch Laptop with Elastic and Padded Shoulder Straps (Black)</span>",₹899,4.0,(516)
/House-Quirk-Electronics-Accessories-Organizer/dp/B07MMGBD1J,"<span class=""a-size-medium a-color-base a-text-normal"">House of Quirk Electronics Accessories Organizer Bag, Universal Carry Travel Gadget Bag for Cables, Plug and More, Perfect Size Fits for Pad Phone Charger Hard Disk - Dark Blue</span>",₹499,4.3,"(6,468)"
/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK,"<span class=""a-size-medium a-color-base a-text-normal"">Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men &amp; Women Front Pocket for Laptop Accessories - Black (6 Month Warranty)</span>",₹512,4.1,"(4,860)"
/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P,"<span class=""a-size-medium a-color-base a-text-normal"">Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy</span>",₹999,4.4,"(3,057)"
/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P,"<span class=""a-size-medium a-color-base a-text-normal"">Tabelito® Casual Laptop Bag 15.6inch (39.6 cm) , 25 LTR Office College School Bags Business Travel Backpack for Men Women Water Resistant Bags(BLACK)</span>",₹549,4.2,"(1,499)"
/Lavie-Broxa-Flap-Womens-Sling/dp/B08QTF8RPM,"<span class=""a-size-medium a-color-base a-text-normal"">Lavie Women's Broxa Flap Over Sling Bag | Ladies Purse Handbag</span>","₹1,217",4.2,"(5,531)"
/Lenovo-GX40Q17226-15-6-Inch-Casual-Backpack/dp/B075Y7H8V6,"<span class=""a-size-medium a-color-base a-text-normal"">Lenovo Casual Laptop Backpack B210 39.62 cm (15.6-inch) Water Repellent Blue</span>",₹987,4.2,"(53,053)"
/Isle-Locada-Hidesign-Womens-Sling/dp/B07L6NGWLP,"<span class=""a-size-medium a-color-base a-text-normal"">Hidesign Women Sling Bag (Blue)</span>","₹1,499",4.4,(250)
/LXE-ECONO-ASHLYN-VINTAGE-BLUE/dp/B09MK23GB8,"<span class=""a-size-medium a-color-base a-text-normal"">Baggit Women's Sling Bag</span>",₹769,4.4,(49)
/Kuber-Industries-Transparent-Waterproof-F_26_KUBBMART017038/dp/B08WK5WQ3K,"<span class=""a-size-medium a-color-base a-text-normal"">Kuber Industries Large Size Crystal Clear Plastic Cosmetic Bags Travel PVC Vinyl Toiletry Bag, Zipper Large Transparent Waterproof Make-Up Case Organizer Bag (Blue) (F_26_KUBBMART017038)</span>",₹244.88,3.8,(20)
/EcoRight-Womens-Reusable-Ecofriendly-0202F01/dp/B06XRQRDCY,"<span class=""a-size-medium a-color-base a-text-normal"">Eco Right Large Tote Bag for Women with Zip, Stylish Cotton Handbags, Canvas Tote Bags for College</span>",₹519,4.1,"(7,078)"
/Amazon-Basics-Stylish-Backpack-Laptop/dp/B09W4WRV5Q,"<span class=""a-size-medium a-color-base a-text-normal"">Amazon Basics - Laptop Backpack/Travel Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Stylish Design</span>","₹1,859",1.0,(1)
/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL,"<span class=""a-size-medium a-color-base a-text-normal"">wooum Water Resistant Material Sling Bag/One Side Bag/Shoulder Bag/Messenger Bag/Office Messenger Bag/Travel Side Bag with 14.1 Inch Laptop Compartment -</span>",₹474.05,4.0,(201)
/Wildcraft-Typo_Blk-Casual-Backpack-11619-Typo_Blk/dp/B079MBFH5V,"<span class=""a-size-medium a-color-base a-text-normal"">Wildcraft 35 ltrs (19 Cms) Casual Backpack(11619-Typo_Blk_Black)</span>","₹1,298",4.3,(340)
/Isle-Locada-Hidesign-Womens-Shoulder/dp/B07Z5BYH24,"<span class=""a-size-medium a-color-base a-text-normal"">Isle Locada by Hidesign Women's SLING BAG(BORDEX/MARSALA)</span>","₹2,999",4.1,(142)
/SACCI-MUCCI-Allamanda-Lightweight-SM1-10_magnolia/dp/B09TDNZ88Z,"<span class=""a-size-medium a-color-base a-text-normal"">SACCI MUCCI Women's Rainbow Sling Bag, Handmade Bags for Females - 100% Vegan Leather and Coated Duck canvas Fabric, Lightweight and Durable</span>",₹449,4.3,(557)
/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3VDBV5,"<span class=""a-size-medium a-color-base a-text-normal"">ADISA Light Weight Laptop Backpack 32 Ltrs</span>",₹499,4.0,"(5,547)"
/Kleider-Nylon-Travel-Mobile-Messenger/dp/B08V5B5G14,"<span class=""a-size-medium a-color-base a-text-normal"">DEIN KLEIDER Nylon Cross Body Travel Mobile Pouch Sling Messenger Bag for Women</span>",₹259,4.2,"(1,330)"
/ADISA-Women-Girls-Floral-SL5073-SKY_Sky/dp/B09B56RD6Z,"<span class=""a-size-medium a-color-base a-text-normal"">ADISA Women Girls Floral Print Round Sling Bag</span>",₹399,4.2,"(1,115)"
/AirCase-Anti-Gravity-Ergonomic-Technology-Protected/dp/B0B87NB61B,"<span class=""a-size-medium a-color-base a-text-normal"">AirCase Anti-Gravity Backpack for Men &amp; Women, Weight Reducing 15.6” Laptop Bag for Travel &amp; Office, Ergonomic Technology for Posture &amp; Muscle Support, Patent Protected, In-built Shock Absorber</span>","₹4,099",3.9,(34)
/Womens-Lattice-Office-leather-adjustable/dp/B07VNMWWRX,"<span class=""a-size-medium a-color-base a-text-normal"">ZOUK Black Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles - Lattice Lace</span>","₹1,699",4.4,"(1,694)"
/Lino-Perros-Womens-Handbag-Black/dp/B07L4PQJ42,"<span class=""a-size-medium a-color-base a-text-normal"">Lino Perros Faux Leather Handbag</span>",₹839,4.3,"(2,423)"
/Polyester-Crossbody-Messenger-Business-Spacious/dp/B09TL193PL,"<span class=""a-size-medium a-color-base a-text-normal"">CRALOFT Polyester Side Bag For Men/Sling Bag/Crossbody Tablet Messenger Bag For Office Business Travel (Extra Spacious)</span>",₹529,4.3,(272)
/ADISA-Women-Girls-Stripes-SL5100-BRO_Brown/dp/B0BD63DRLZ,"<span class=""a-size-medium a-color-base a-text-normal"">ADISA Women Girls Stripes Cross Body Sling Bag</span>",₹575,4.4,(79)
/Vector-Polyester-Blitz-Gym-Grey-Orange/dp/B091MYFBBR,"<span class=""a-size-medium a-color-base a-text-normal"">Vector X Polyester Blitz Gym Bag (Grey-Orange)</span>",₹299,3.5,(5)
/Isle-Coco-Hidesign-Womens-Sling/dp/B07L6N38Y3,"<span class=""a-size-medium a-color-base a-text-normal"">Hidesign Women Sling Bag (Silver)</span>","₹2,299",4.3,(70)
/AirCase-Messenger-15-6-Inch-MacBook-2-Multi/dp/B07WPBDD6D,"<span class=""a-size-medium a-color-base a-text-normal"">AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men &amp; Women</span>",₹949,3.7,(120)
/Gizga-Essentials-Organizer-Multi-Utility-Cosmetics/dp/B09WVRKYCJ,"<span class=""a-size-medium a-color-base a-text-normal"">Gizga Essentials Travel Toiletry Kit Bag for Men &amp; Women, Travel Organizer Case with Handle &amp; Hook, Premium Zipper, Multiple Pockets, Multi-Utility Pouch for Shaving Makeup Cosmetics, Light Grey</span>",₹399,4.1,(51)
/Chumbak-Womens-Flower-Canvas-Sling/dp/B08FRFFGDB,"<span class=""a-size-medium a-color-base a-text-normal"">Chumbak Sling Bags</span>",₹997,3.8,(131)
/Wildcraft-Ltrs-Black-Rucksack-8903338073819/dp/B01G5I8VBK,"<span class=""a-size-medium a-color-base a-text-normal"">Wildcraft 60 Ltrs Black Rucksack (8903338073819)</span>","₹2,645",4.4,(593)
